Tempo	Nome do Dispositivo	Tipo	PID	Marca	Mensagem
07-14 23:00:13.833	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22718 Destroyed c9a6b6b com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22718
 wait for adding window timeout: 1987
07-14 23:00:13.832	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22719 Destroyed com.myvocalist/crc64eea2bef31ba6694c.MainActivity$_29673#22719
07-14 23:00:13.832	Samsung SM-S918B	Error	1918	BpTransactionCompletedListener	Failed to transact (-32)
07-14 23:00:13.832	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22711 Destroyed ActivityRecord{135862822 u0 com.myvocalist/crc64eea2bef31ba6694c.MainActivity t2730}#22711
07-14 23:00:13.832	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22756 Destroyed Task=2730#22756
07-14 23:00:13.832	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22754 Destroyed Surface(name=RemoteWallpaperAnim:1:1#7)/@0x3d8d6d0 - animation-leash of remote_wallpaper#22754
07-14 23:00:13.832	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22717 Destroyed 5b8e168 ActivityRecordInputSink com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22717
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22718 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{c9a6b6b com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22718 !handle})
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22719 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{com.myvocalist/crc64eea2bef31ba6694c.MainActivity$_29673#22719 !handle})
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22711 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{ActivityRecord{135862822 u0 com.myvocalist/crc64eea2bef31ba6694c.MainActivity t2730}#22711 !handle})
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22756 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{Task=2730#22756 !handle z=17})
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22754 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{Surface(name=RemoteWallpaperAnim:1:1#7)/@0x3d8d6d0 - animation-leash of remote_wallpaper#22754 !handle})
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22717 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{5b8e168 ActivityRecordInputSink com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22717 !handle z=-2147483648})
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed c9a6b6b com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22718 form LifecycleManager
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed com.myvocalist/crc64eea2bef31ba6694c.MainActivity$_29673#22719 form LifecycleManager
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed ActivityRecord{135862822 u0 com.myvocalist/crc64eea2bef31ba6694c.MainActivity t2730}#22711 form LifecycleManager
